Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6507041,Enciclopedia de los muertos,Danilo Kiš,"Kiš, Danilo",Nevenka Vasiljević,"=""849683459X""","=""9788496834590""",0,4.08,Acantilado,Paperback,208,2008,1983,,2022/08/15,to-read,to-read (#46),to-read,,,,0,0
35394156,No sé de ningún mundo mejor,Ingeborg Bachmann,"Bachmann, Ingeborg","Jan Pohl, Isolde Moser, Heinz Bachmann","=""8475177549""","=""9788475177540""",0,4.12,Hiperión,Paperback,298,2003,2000,,2022/08/06,to-read,to-read (#45),to-read,,,,0,0
1536693,Tótem y tabú,Sigmund Freud,"Freud, Sigmund",Luis López-Ballesteros y de Torres,"=""8420638463""","=""9788420638461""",2,3.85,Alianza,Mass Market Paperback,206,1999,1913,2022/07/19,2022/06/26,,,read,,,,1,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.15,Knopf,Hardcover,255,2022,2022,,2022/07/14,to-read,to-read (#44),to-read,,,,0,0
58587163,Heaven in Disorder,Slavoj Žižek,"Žižek, Slavoj",,"=""""","=""9781682192832""",0,3.77,OR Books,Paperback,240,2021,2021,,2022/07/07,to-read,to-read (#43),to-read,,,,0,0
60818212,Facendera,Óscar García Sierra,"Sierra, Óscar García",,"=""8433999532""","=""9788433999535""",0,3.82,Anagrama,Paperback,160,2022,2022,,2022/06/22,to-read,to-read (#42),to-read,,,,0,0
24885533,The Paper Menagerie and Other Stories,Ken Liu,"Liu, Ken",,"=""1481442546""","=""9781481442541""",0,4.37,Gallery / Saga Press,Hardcover,464,2016,2016,,2022/06/21,to-read,to-read (#41),to-read,,,,0,0
52163147,The Hidden Girl and Other Stories,Ken Liu,"Liu, Ken",,"=""""","=""""",0,3.93,Saga Press,Hardcover,411,2020,2020,,2022/06/21,to-read,to-read (#40),to-read,,,,0,0
57106040,La anomalía,Hervé Le Tellier,"Tellier, Hervé Le",Pablo Martín Sánchez,"=""""","=""9788432237928""",4,3.84,Seix Barral,Paperback,366,2021,2020,2022/06/20,2022/06/04,,,read,,,,1,0
55851402,Refugiats Climàtics: un gran repte del segle XXI,Miguel Pajares,"Pajares, Miguel",,"=""""","=""9788417925338""",0,4.24,Raig Verd Editorial,Paperback,280,2020,,,2020/11/13,to-read,to-read (#8),to-read,,,,0,0
58516312,Primera persona del singular,Haruki Murakami,"Murakami, Haruki",Juan Francisco González Sánchez,"=""""","=""9788411070140""",0,3.55,Tusquets,Paperback,288,2021,2020,,2022/06/13,to-read,to-read (#39),to-read,,,,0,0
12938,King Lear,William Shakespeare,"Shakespeare, William",William James Rolfe,"=""""","=""""",4,3.91,Simon & Schuster,Mass Market Paperback,338,2004,1605,2022/06/11,2020/11/02,,,read,,,,1,0
