Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"Riordan, Rick",,142311339X,9781423113393,0,4.32,Disney-Hyperion Books,Hardcover,553,2010,2010,,2022/12/02,,,read,,,,1,0
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,,,0,3.86,Disney-Hyperion,Paperback,396,2003,2001,,2022/12/02,,,read,,,,1,0
6952,Like Water for Chocolate,Laura Esquivel,"Esquivel, Laura","Carol Christensen, Thomas  Christensen",,,0,3.95,Black Swan,Paperback,222,1993,1989,,2022/12/02,to-read,to-read (#151),to-read,,,,0,0
59716,To the Lighthouse,Virginia Woolf,"Woolf, Virginia","Eudora Welty, جرجس منسي",,,0,3.8,Harvest Books,Paperback,209,1989,1927,,2022/12/02,to-read,to-read (#150),to-read,,,,0,0
6327,The Witches,Roald Dahl,"Dahl, Roald",Quentin Blake,0590032496,9780590032490,0,4.17,Scholastic Inc.,Paperback,208,1997,1983,,2022/12/02,,,read,,,,1,0
99300,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,0486298574,9780486298573,0,4.05,Dover Publications,Paperback,70,1997,1892,,2022/12/02,to-read,to-read (#149),to-read,,,,0,0
30597,Notre-Dame de Paris | The Hunchback of Notre-Dame,Victor Hugo,"Hugo, Victor","Walter J. Cobb, Lucie Konvičková",0451527887,9780451527882,0,4.01,Signet Classics,Paperback,510,2001,1831,,2022/12/02,to-read,to-read (#148),to-read,,,,0,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,1400079276,9781400079278,0,4.14,Vintage International,Paperback,467,2006,2002,,2022/12/02,to-read,to-read (#147),to-read,,,,0,0
7728,"Antigone (The Theban Plays, #3)",Sophocles,"Sophocles, Sophocles",J.E. Thomas,1580493882,9781580493888,0,3.66,Ingram,Paperback,80,2005,-441,,2022/12/02,,,read,,,,1,0
29844228,Thirteen Reasons Why,Jay Asher,"Asher, Jay",,1595147888,9781595147882,0,3.86,Razorbill,Hardcover,352,2016,2007,,2022/12/02,,,read,,,,1,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,0060557818,9780060557812,0,4.17,William Morrow Paperbacks,Paperback,370,2003,1996,,2022/12/02,to-read,to-read (#146),to-read,,,,0,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,0553383809,9780553383805,0,4.26,Dial Press Trade Paperback,Paperback,448,2005,1982,,2022/12/02,to-read,to-read (#145),to-read,,,,0,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9780756404079,0,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2022/12/02,,,read,,,,1,0
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,0440242940,9780440242949,0,4.25,Dell Publishing Company,Mass Market Paperback,850,2005,1991,,2022/12/02,to-read,to-read (#144),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,0,3.84,Vintage Books,Paperback,288,2010,2005,,2022/12/02,to-read,to-read (#143),to-read,,,,0,0
27712,The Neverending Story,Michael Ende,"Ende, Michael","Ralph Manheim, Roswitha Quadflieg",0525457585,9780525457589,0,4.18,Dutton Children's Books,Hardcover,396,1997,1979,,2022/12/02,to-read,to-read (#142),to-read,,,,0,0
9375,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,"Flagg, Fannie",,0375508414,9780375508417,0,4.28,Random House,Hardcover,416,2002,1987,,2022/12/02,to-read,to-read (#141),to-read,,,,0,0
10799,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,0099910101,9780099910107,0,3.81,Arrow Books,Paperback,293,2004,1929,,2022/12/02,,,read,,,,1,0
30165203,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,,,0,4.11,William Morrow,Kindle Edition,635,2011,2001,,2022/12/02,to-read,to-read (#140),to-read,,,,0,0
43070,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,"Watterson, Bill",,0836218051,9780836218053,0,4.64,Andrews McMeel Publishing,Paperback,256,1988,1988,,2022/12/02,to-read,to-read (#139),to-read,,,,0,0
6689,James and the Giant Peach,Roald Dahl,"Dahl, Roald",Quentin Blake,0375814248,9780375814242,0,4.02,Alfred A. Knopf,Hardcover,146,2002,1961,,2022/12/02,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,0062024035,9780062024039,0,4.16,Katherine Tegen Books,Paperback,487,2012,2011,,2022/12/02,,,read,,,,1,0
6867,Atonement,Ian McEwan,"McEwan, Ian",,038572179X,9780385721790,0,3.93,Anchor Books,Paperback,351,2003,2001,,2022/12/02,,,read,,,,1,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir",,,0,3.96,Vintage,Paperback,255,2001,1925,,2022/12/02,to-read,to-read (#138),to-read,,,,0,0
10959,Sophie's World,Jostein Gaarder,"Gaarder, Jostein",Paulette Møller,1857993284,9781857993288,0,3.96,Phoenix,Paperback,403,1995,1991,,2022/12/02,to-read,to-read (#137),to-read,,,,0,0
70401,On the Road,Jack Kerouac,"Kerouac, Jack",,0140042598,9780140042597,0,3.62,Penguin Books,Paperback,307,1976,1957,,2022/12/02,to-read,to-read (#136),to-read,,,,0,0
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Edith Grossman, Kjell Risvik, Carlos Marrodán Casas",140003468X,9781400034680,0,3.93,Vintage International,Paperback,348,2003,1985,,2022/12/02,to-read,to-read (#135),to-read,,,,0,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,0439023513,9780439023511,0,4.07,Scholastic Press,Hardcover,398,2010,2010,,2022/12/02,,,read,,,,1,0
33648131,"The Notebook (The Notebook, #1)",Nicholas Sparks,"Sparks, Nicholas",,,,0,4.13,Grand Central Publishing,Kindle Edition,227,2000,1996,,2022/12/02,,,read,,,,1,0
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,,,0,4.15,David Fickling Books,Hardcover,240,2006,2006,,2022/12/02,,,read,,,,1,0
6656,The Divine Comedy,Dante Alighieri,"Alighieri, Dante","Allen Mandelbaum, Eugenio Montale, Peter Armour, Sandro Botticelli",0679433139,9780679433132,0,4.07,Everyman's Library,Hardcover,798,1995,1320,,2022/12/02,to-read,to-read (#134),to-read,,,,0,0
236093,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"Baum, L. Frank","Жечка Георгиева, W.W. Denslow, У.У. Денслоу",0140621679,9780140621679,0,3.99,Penguin,Paperback,154,1995,1900,,2022/12/02,to-read,to-read (#133),to-read,,,,0,0
